Date,Open,High,Low,Close,Volume,SH_Open,SH_High,SH_Low,SH_Close,SH_Volume
1997-07-02,891.030029296875,904.0499877929688,891.030029296875,904.030029296875,526970000,1255.9090576171875,1261.571044921875,1147.3310546875,1199.06103515625,0
1997-07-03,904.030029296875,917.8200073242188,904.030029296875,916.9199829101562,374680000,1194.676025390625,1194.676025390625,1149.93994140625,1150.623046875,0
1997-07-07,916.9199829101562,923.260009765625,909.6900024414062,912.2000122070312,518780000,1161.70703125,1163.447021484375,1085.572021484375,1096.8189697265625,0
1997-07-08,912.2000122070312,918.760009765625,911.5599975585938,918.75,526010000,1092.7989501953125,1115.4329833984375,1066.0439453125,1109.666015625,0
1997-07-09,918.75,922.030029296875,902.47998046875,907.5399780273438,589110000,1113.6409912109375,1122.6739501953125,1104.0860595703125,1120.8409423828125,0
1997-07-10,907.5399780273438,916.5399780273438,904.3099975585938,913.780029296875,551340000,1121.259033203125,1137.8690185546875,1115.2120361328125,1120.154052734375,0
1997-07-11,913.780029296875,919.739990234375,913.1099853515624,916.6799926757812,500050000,1116.4150390625,1155.0560302734375,1114.39697265625,1154.7939453125,0
1997-07-14,916.6799926757812,921.780029296875,912.02001953125,918.3800048828124,485960000,1189.4739990234375,1201.2139892578125,1180.1910400390625,1200.114013671875,0
1997-07-16,925.760009765625,939.3200073242188,925.760009765625,936.5900268554688,647390000,1201.594970703125,1204.85498046875,1184.4449462890625,1190.8260498046875,0
1997-07-17,936.5900268554688,936.9600219726562,927.9000244140624,931.6099853515624,629250000,1188.2669677734375,1203.5040283203125,1180.9339599609375,1197.2259521484375,0
1997-07-18,931.6099853515624,931.6099853515624,912.9000244140624,915.2999877929688,589710000,1199.3990478515625,1210.43994140625,1191.2889404296875,1209.8570556640625,0
1997-07-21,915.2999877929688,915.3800048828124,907.1199951171876,912.9400024414062,459500000,1215.8389892578125,1218.48095703125,1188.875,1193.5250244140625,0
1997-07-22,912.9400024414062,934.3800048828124,912.9400024414062,933.97998046875,579590000,1189.1180419921875,1208.261962890625,1163.468017578125,1208.248046875,0
1997-07-23,933.97998046875,941.7999877929688,933.97998046875,936.5599975585938,616930000,1219.0550537109375,1223.822998046875,1194.7030029296875,1198.8609619140625,0
1997-07-24,936.5599975585938,941.510009765625,926.9099731445312,940.2999877929688,571020000,1194.7049560546875,1200.3089599609375,1172.366943359375,1174.217041015625,0
1997-07-25,940.2999877929688,945.6500244140624,936.0900268554688,938.7899780273438,521510000,1166.5660400390625,1177.6529541015625,1158.135986328125,1170.862060546875,0
1997-07-28,938.7899780273438,942.969970703125,935.1900024414062,936.4500122070312,466920000,1167.81298828125,1167.8800048828125,1138.4749755859375,1141.7769775390625,0
1997-07-29,936.4500122070312,942.9600219726562,932.5599975585938,942.2899780273438,544540000,1137.3189697265625,1161.1949462890625,1133.175048828125,1153.22900390625,0
1997-07-30,942.2899780273438,953.97998046875,941.97998046875,952.2899780273438,568470000,1157.0899658203125,1179.47802734375,1157.0040283203125,1179.4210205078125,0
1997-07-31,952.2899780273438,957.72998046875,948.8900146484376,954.3099975585938,547830000,1184.93701171875,1192.199951171875,1179.7149658203125,1189.760009765625,0
1997-08-01,954.2899780273438,955.3499755859376,939.0399780273438,947.1400146484376,513750000,1191.6510009765625,1194.031005859375,1182.2230224609375,1192.8280029296875,0
1997-08-04,947.1400146484376,953.1799926757812,943.5999755859376,950.2999877929688,456000000,1196.2540283203125,1201.9200439453125,1188.676025390625,1200.3330078125,0
1997-08-05,950.2999877929688,954.2100219726562,948.9199829101562,952.3699951171876,525710000,1203.3580322265625,1207.22802734375,1193.696044921875,1196.2740478515625,0
1997-08-06,952.3699951171876,962.4299926757812,949.4500122070312,960.3200073242188,565200000,1196.0350341796875,1197.4449462890625,1170.2669677734375,1171.9410400390625,0
1997-08-07,960.3200073242188,964.1699829101562,950.8699951171876,951.1900024414062,576030000,1167.927001953125,1199.239990234375,1161.6319580078125,1199.239990234375,0
1997-08-08,951.1900024414062,951.1900024414062,925.739990234375,933.5399780273438,563420000,1205.9520263671875,1216.56103515625,1201.3580322265625,1206.052978515625,0
1997-08-11,933.5399780273438,938.5,925.3900146484376,937.0,480340000,1206.4560546875,1206.759033203125,1182.447021484375,1184.0830078125,0
1997-08-12,937.0,942.989990234375,925.6599731445312,926.530029296875,499310000,1177.260986328125,1183.43603515625,1145.748046875,1146.8089599609375,0
1997-08-13,926.530029296875,935.77001953125,916.5399780273438,922.02001953125,587210000,1139.2459716796875,1153.4949951171875,1118.2020263671875,1120.126953125,0
1997-08-14,922.02001953125,930.0700073242188,916.9199829101562,924.77001953125,530460000,1120.470947265625,1168.3349609375,1120.2449951171875,1168.113037109375,0
1997-08-15,924.77001953125,924.77001953125,900.8099975585938,900.8099975585938,537820000,1174.1829833984375,1174.8819580078125,1133.8900146484375,1143.06396484375,0
1997-08-18,900.8099975585938,912.5700073242188,893.3400268554688,912.489990234375,514330000,1139.60595703125,1139.60595703125,1116.14794921875,1134.634033203125,0
1997-08-19,912.489990234375,926.010009765625,912.489990234375,926.010009765625,545630000,1134.616943359375,1143.2010498046875,1128.1090087890625,1132.905029296875,0
1997-08-20,926.010009765625,939.3499755859376,924.5800170898438,939.3499755859376,521270000,1135.050048828125,1144.64599609375,1133.741943359375,1144.6390380859375,0
1997-08-21,939.3499755859376,939.469970703125,921.3499755859376,925.0499877929688,499000000,1148.386962890625,1165.218017578125,1147.8160400390625,1164.5450439453125,0
1997-08-22,925.0499877929688,925.0499877929688,905.4199829101562,923.5399780273438,460160000,1159.385986328125,1174.4859619140625,1156.8260498046875,1171.8330078125,0
1997-08-25,923.5499877929688,930.9299926757812,917.2899780273438,920.1599731445312,388990000,1175.4449462890625,1184.333984375,1175.384033203125,1184.095947265625,0
1997-08-26,920.1599731445312,922.469970703125,911.719970703125,913.02001953125,449110000,1186.0689697265625,1194.1309814453125,1181.2430419921875,1194.04296875,0
1997-08-27,913.02001953125,916.22998046875,903.8300170898438,913.7000122070312,492150000,1195.427978515625,1199.4739990234375,1188.3310546875,1198.512939453125,0
1997-08-28,913.7000122070312,915.9000244140624,898.6500244140625,903.6699829101562,486300000,1201.0589599609375,1216.0760498046875,1194.675048828125,1213.8919677734375,0
1997-08-29,903.6699829101562,907.280029296875,896.8200073242188,899.469970703125,413910000,1214.31005859375,1223.071044921875,1209.47900390625,1221.06396484375,0
